,Ticker,Average Daily Return,Standard Deviation of Daily Return,Annual Return 01,Annual Return 02,Win Rate,Num Trades,Num Winners,Num Losers,Sortino Ratio,Sharpe_ratio,Cumulative Returns,Annual Volatility,Max Drawdown,Calmar Ratio,Stability,Omega Ratio,Skew,Kurtosis,Tail Ratio,Daily Value at Risk (5%)
27,BLD,0.0017417874868125827,0.00502139802592535,483.365098958714,0.43893044667677084,116.78129041919395,1.9181154720583888,224,141,21100.838252687023,5.50643844965593,4.0555666419066,0.4818429864487779,-0.5225712827449998,7.760791256272694,1.6966888007921794,33.922535947822524,-0.4758085604388713,6.334221887684205,-1.005713612066617,-0.04756009215686424
28,TSLA,0.0028399299538906385,0.00502139802592535,945.5784587397444,0.7156623483804408,59.43028786304772,3.752295471189462,223,156,33441.117739738205,8.978075460313404,11.62625665026105,0.6522453848148678,-0.7363221744219126,15.789632655554394,1.3110459563978585,74.05475675683441,0.09947594758645673,3.210526212512497,-0.9387985982482163,-0.06295069782904034
29,NFLX,0.0006510952251248193,0.00502139802592535,436.43723359424655,0.16407599673145445,116.05792563310696,1.731893784104153,201,167,18935.372785431744,2.058354310820962,0.27490764935594125,0.4735742340817639,-0.7594731823071553,0.3619715030895716,0.5348840128058672,1.018761248575927,-1.1423931843382733,19.33110345148604,-0.9642573824116331,-0.04177440589605619
30,NOW,0.0013239545173894941,0.00502139802592535,514.4245556659943,0.3336365383821525,128.3453506890291,2.041367284388866,262,157,27913.776184777562,4.185512937338957,2.3134154029168923,0.4390385836705265,-0.5129750484120231,4.5098010323861795,1.8327747383044348,26.145896218372314,0.19542424305422162,2.318016289525957,-1.02150431431609,-0.04362669246086226
31,YUM,0.0004709080793057821,0.00502139802592535,233.1181276385575,0.11866883598505708,251.872304375391,0.9250719350736408,233,148,19970.439990942457,1.4887156864860367,0.5362897532467461,0.2612444031571348,-0.5217055715115758,1.0279548130814753,1.5256476286812337,3.573384063301801,1.9106099618234724,36.05347301929045,-1.0510877767042024,-0.022210468828561314
32,WMT,0.0006100950609865745,0.00502139802592535,268.33424635226595,0.15374395536861676,270.4686449329435,1.0648184379058172,288,198,25444.770682801292,1.9287375338247175,0.9204639839940054,0.22070009407633026,-0.25739677309509906,3.576050985122204,2.0322898208420845,18.638699940025354,0.14372000364283283,14.110595991021771,-0.9863419368438971,-0.01921265203847422
33,PG,0.0006999603929962062,0.00502139802592535,277.87516273506174,0.17639001903504398,260.2751512158604,1.1026792172026258,287,178,26874.883544569573,2.2128352915680978,1.1638800121136557,0.21621306060762682,-0.2377245220146604,4.895919033720381,2.606381746512285,,0.33440765373178927,11.986735658833323,-1.0358610301686675,-0.0177863984588566
34,AMGN,0.0004936206422001103,0.00502139802592535,292.70182024105475,0.1243924018344278,209.20949500610914,1.1615151596867253,243,183,27197.10477509665,1.5605185502443608,0.5867341021589778,0.25712011699568155,-0.2485994789110002,2.360158214044493,1.4402288996870283,5.500366516407823,0.5923871208482065,6.357079423928262,-0.9075206305542747,-0.023579445785386288
35,DUOL,0.0029217028535750175,0.00502139802592535,132.4470560738522,0.7362691191009044,112.25617571831597,0.5255835558486198,59,38,5072.194847352956,9.23659002788899,1.1590911011427116,0.6684232490578592,-0.40612226879586544,2.854044681123656,1.4372970202231845,23.159124217215478,1.439235434503798,12.84144691697392,-0.9424597491187579,-0.0538671394289127
36,XOM,0.0006726965932155142,0.00502139802592535,343.9813206132233,0.1695195414903096,153.11296527993892,1.365005240528664,209,151,23290.448707131112,2.126644274275368,0.7452237880524248,0.343864799518358,-0.6034736908789308,1.2348902683181462,0.1980388062896365,0.39101290412778955,0.05809239590095827,4.497803808655074,-0.9631874563654511,-0.032497646303288386
37,SHEL.L,0.0005078435426912847,0.00502139802592535,337.63711652195775,0.12797657275820376,190.32267738200798,1.3398298274680862,255,173,20006.834350210902,1.605482431730013,0.40772389374992946,0.3466655271287251,-0.6305102454496978,0.6466570475141593,-0.37149386879417956,-0.3638122161314791,-0.09816963228312804,13.402274579033474,-1.0149979840700836,-0.03137550791064485
38,ROKU,0.0013343379124300862,0.00502139802592535,875.1404068960971,0.33625315393238175,54.711220762641176,3.47277939244483,190,139,28647.292471260032,4.218338713228593,0.26519703013845985,0.7664636334355098,-0.9190823790676524,0.28854544073348953,0.7945970971443376,8.138163247071526,0.666460442960601,6.241302445369142,-0.9490343877154649,-0.06812211025355708
39,PLTR,0.0006126837306278125,0.00502139802592535,243.77144625417844,0.15439630011820876,58.9240463586649,0.9673470089451526,57,43,9115.4417883116,1.9369212819305528,-0.163018170094816,0.6844094304723312,-0.7914494298042014,-0.20597420878191228,-1.334265383702555,-0.8014642633711796,0.5002980931960161,4.203260568439674,-0.9580672847383271,-0.06373900163620712
40,^GSPC,0.00044869906979577923,0.00502139802592535,183.44572342759486,0.11307216558853636,380.5158206784324,0.7279592199507733,277,179,16598.235440856883,1.4185047423722714,0.5696507998944871,0.21708715040732202,-0.3392496000265331,1.6791495107140408,1.4421087064091522,7.131418082376343,-0.46046460571110465,12.090913392693404,-1.0318861901769694,-0.020092135165609704
41,VOO,0.0005160396357926289,0.00502139802592535,200.15048305877855,0.13004198821974247,361.3481161509887,0.7942479486459466,287,174,18036.72398419275,1.6313933321882486,0.7106522303019991,0.2166890545817725,-0.3399299883119211,2.0905841047771925,1.4898685166929686,8.986140152672348,-0.4431311502547151,12.17193966468217,-1.0662422430596123,-0.019964052960160128
42,SPY,0.0005117173633719668,0.00502139802592535,200.4571731088475,0.12895277556973564,359.53814414446106,0.7954649726541568,286,178,18396.217057024227,1.6177290205387402,0.7064599640649805,0.2138878052084636,-0.3371727705615527,2.0952461934823186,1.4904229303482164,8.984907056359544,-0.48407084838377773,10.5557788996124,-1.0498765616735815,-0.019975476187012287
